models,n_models,weights,accuracy,f1,roc_auc
logreg+lgbm+xgb,3,"(1, 5, 3)",0.8293,0.8271392405063291,0.9014418799999999
logreg+lgbm,2,"(1, 5)",0.8292,0.8272304268662756,0.9013920400000001
logreg+lgbm+xgb,3,"(1, 4, 5)",0.8289,0.8268393887258375,0.9013901200000001
logreg+lgbm+xgb,3,"(1, 5, 4)",0.829,0.8267828200972447,0.9013851599999999
logreg+lgbm+xgb,3,"(1, 5, 5)",0.8287,0.8265316455696202,0.9013321600000002
lgbm+xgb,2,"(4, 5)",0.8286,0.8262720454084735,0.90058936
lgbm+xgb,2,"(3, 4)",0.8286,0.8263072557762464,0.9005872400000001
lgbm+xgb,2,"(1, 1)",0.8286,0.8262720454084735,0.9005787599999999
lgbm+xgb,2,"(3, 3)",0.8286,0.8262720454084735,0.9005787599999999
lgbm+xgb,2,"(2, 2)",0.8286,0.8262720454084735,0.9005787599999999
lgbm+xgb,2,"(4, 4)",0.8286,0.8262720454084735,0.9005787599999999
lgbm+xgb,2,"(5, 5)",0.8286,0.8262720454084735,0.9005787599999999
lgbm+xgb,2,"(2, 3)",0.8285,0.8262235282196778,0.90057824
lgbm+xgb,2,"(5, 4)",0.8285,0.826188304449174,0.9005686799999999
lgbm+xgb,2,"(4, 3)",0.8285,0.8262235282196778,0.9005684399999998
lgbm+xgb,2,"(3, 2)",0.8285,0.826188304449174,0.9005644799999999
lgbm+xgb,2,"(3, 5)",0.8286,0.8263424518743667,0.90056128
lgbm+xgb,2,"(5, 3)",0.8286,0.8263072557762464,0.9005520000000001
lgbm+xgb,2,"(2, 4)",0.8285,0.8262235282196778,0.90052816
lgbm+xgb,2,"(1, 2)",0.8285,0.8262235282196778,0.90052816
lgbm+xgb,2,"(2, 1)",0.8283,0.8260208734420914,0.9005121200000001
lgbm+xgb,2,"(4, 2)",0.8283,0.8260208734420914,0.9005121200000001
lgbm+xgb,2,"(2, 5)",0.8287,0.8263910003040438,0.9004914399999999
lgbm+xgb,2,"(5, 2)",0.8276,0.8252584634096899,0.90046828
lgbm+xgb,2,"(1, 3)",0.8286,0.8263072557762464,0.90046136
lgbm+xgb,2,"(3, 1)",0.8272,0.8248530306101763,0.900437
lgbm+xgb,2,"(1, 4)",0.8282,0.8260076969819728,0.9003974
lgbm+xgb,2,"(4, 1)",0.8276,0.8253646677471637,0.90036852
lgbm+xgb,2,"(1, 5)",0.8279,0.8257568087475954,0.90034904
lgbm+xgb,2,"(5, 1)",0.8278,0.8256732132010528,0.90031176
